word,meaning_zh
cater,迎合
provision,供给
edible,可食用的
recipe,食谱
restaurant,餐馆
refectory,餐厅
cafeteria,自助餐厅
buffet,自助餐
barbecue,烧烤
supper,晚餐
banquet,宴会
refreshment,点心
snack,快餐
appetiser,开胃食品
appetizer,开胃食品
cuisine,菜肴
menu,菜单
order,定购
takeaway,外卖
chef,厨师
gourmet,美食家
vegetarian,素食者
cutlery,餐具
silver,银器
ceramic,陶瓷的
porcelain,瓷
bowl,碗
dish,盘
saucer,碟
tray,托盘
fork,叉
knife,刀
spoon,匙
glass,玻璃杯
mug,大杯
kettle,水壶
pan,平底锅
pot,罐
stove,火炉
furnace,熔炉
oven,烤箱
tin,锡
lid,盖子
drink,饮料
beverage,饮料
juice,果汁
soda,苏打水
coffee,咖啡
alcohol,酒精
liquor,酒
whisky,威士忌
whiskey,威士忌
brandy,白兰地
drunk,酒醉的
tobacco,烟草
cigarette,香烟
sober,清醒的
vegetable,蔬菜
tomato,西红柿
potato,土豆
pea,豌豆
bean,菜豆
cucumber,黄瓜
cabbage,卷心菜
onion,洋葱
mushroom,蘑菇
eggplant,茄子
carrot,胡萝卜
turnip,芜菁
radish,萝卜
peel,剥皮
strip,剥去
hull,外壳
cherry,樱桃
berry,浆果
grape,葡萄
papaya,木瓜
peach,桃
pear,梨
plum,李子
orange,橙子
melon,瓜
lemon,柠檬
kiwi,奇异果
crop,作物
corn,玉米
grain,谷物
wheat,小麦
reap,收割
flour,面粉
porridge,粥
paste,糊
livestock,家畜
chicken,小鸡
turkey,火鸡
beef,牛肉
pork,猪肉
mutton,羊肉
sausage,香肠
fish,鱼
pond,池塘
rod,杆
dairy,乳制品
milk,牛奶
yogurt,酸奶
cream,奶油
cheese,乳酪
butter,黄油
salad,沙拉
sandwich,三明治
hamburger,汉堡包
loaf,一条面包
pie,派
pizza,比萨饼
pasta,意大利面
spaghetti,意大利式细面条
soup,汤
pudding,布丁
biscuit,饼干
jam,果酱
nut,坚果
chocolate,巧克力
ice cream,冰淇淋
vanilla,香草
mustard,芥末
wasabi,芥末
pepper,胡椒
ginger,姜
garlic,大蒜
scallion,青葱
vinegar,醋
salt,盐
sugar,糖
candy,糖果
honey,蜂蜜
flavor,味道
flavour,味道
sour,酸的
sweet,甜的
bitter,苦的
spicy,辛辣的
delicious,美味的
yummy,好吃的
tasty,好吃的
hunger,饥饿
thirsty,口渴的
spice,调料
sauce,酱
ketchup,番茄酱
perfume,香水
ingredient,成分
supplement,增刊
digest,消化
cook,烹调
bake,烘烤
fry,油炸
roast,烤
toast,烘烤
suck,吸入
lick,舔
chew,嚼
gum,口香糖
soak,浸泡
dip,浸
squeeze,挤
stir,搅动
grind,研磨
slice,切片
architecture,建筑学
erection,竖立
structure,结构
construct,建造
obstruct,妨碍
establish,建立
build,建造
found,创办
concrete,混凝土
steel,钢
stability,稳定性
site,地点
venue,会场
landmark,地标
situated,位于
locate,查找…的地点
reside,居住
inhabit,居住于
migrate,移居
settle,安置
dwelling,住宅
skyscraper,摩天大楼
villa,别墅
mansion,大厦
apartment,公寓
hostel,旅店
lodge,寄宿
hut,棚屋
cabin,小木屋
cellar,地窖
shed,棚子
cottage,村舍
nursery,育婴室
cradle,摇篮
shelter,遮荫处
block,街区
grid,网格
aisle,通道
porch,门廊
corridor,走廊
stair,楼梯
staircase,楼梯
storey,楼层
layer,层
elevator,电梯
escalator,扶梯
handrail,扶手
pillar,柱子
column,圆柱
beam,梁
vault,地下室
arch,拱门
ceiling,天花板
eaves,屋檐
chimney,烟囱
reception,接待
lobby,大厅
bench,长凳
parlour,客厅
parlor,客厅
fireplace,壁炉
radiator,散热器
living room,起居室
cabinet,橱柜
balcony,阳台
kitchen,厨房
lavatory,厕所
toilet,厕所
bath,洗澡
basin,盆
reserve,储备
store,商店
mall,商场
supermarket,超市
booth,货摊
casino,赌场
studio,工作室
downtown,市中心
urban,城市的
peripheral,周边的
vicinity,附近
room,房间
void,空间
spacious,宽敞的
airtight,不透气的
expanse,广阔
plaza,露天广场
castle,城堡
carpenter,木匠
mason,石匠
tile,瓷砖
brickwork,砖瓦工程
suspension,悬挂
hook,钩子
lever,杠杆
scaffold,脚手架
infrastructure,基础设施
apparatus,器械
crane,起重机
malfunction,发生故障
maintain,保持
fix,修理
mend,修理
modify,修改
trim,修整
weld,焊接
saw,锯
screw,螺丝钉
drill,钻孔
plumb,垂直
viaduct,高架桥
span,跨度
dam,水坝
install,安装
furnish,布置
placement,布局
layout,设计
design,设计
entrance,入口
entry,入口
enter,进入
exit,出口
outside,外部
outward,向外的
exterior,外部的
external,外部的
inner,内部的
interior,内部的
inward,向内的
internal,内部的
navigate,导航
voyage,航行
aviation,飞行
journey,旅行
travel,旅行
safari,旅行
parade,游行
haunt,经常去的地方
attraction,吸引力
memorial,纪念碑
pyramid,金字塔
port,港口
visa,签证
traffic,交通
airline,航空公司
airplane,飞机
helicopter,直升飞机
jet,喷气式飞机
parachute,降落伞
flight,航班
pilot,飞行员
passenger,乘客
baggage,行李
luggage,行李
suitcase,手提箱
carry-on,手提箱
rack,架子
freight,货运
fare,票价
atlas,地图集
route,路线
itinerary,旅游行程
passage,走廊
intersection,十字路口
cross,十字形物
way,道路
path,小路
lane,车道
avenue,林荫大道
highway,公路
curb,路缘
signpost,路标
pave,铺
vehicle,交通工具
auto,汽车
express,快车
tram,有轨电车
coach,大客车
ambulance,救护车
truck,卡车
lorry,卡车
van,面包车
wagon,马车
carriage,客车车厢
tractor,拖拉机
cart,车
pedicab,三轮车
cycle,循环
garage,汽车间
motor,汽缸
horsepower,马力
wheel,轮
brake,刹车
tire,轮胎
tyre,轮胎
honk,喇嘛声
crew,船员
captain,船长
steward,服务员
emergency,紧急情况
wreck,失事
crash,坠落
crush,压碎
dash,猛撞
vanish,消失
disappear,消失
hazard,危险
harbour,海港
harbor,海港
dock,船坞
anchor,锚
submerge,淹没
sailor,海员
seaman,海员
carrier,运输器
steamer,汽船
liner,定期班机
vessel,船只
ferry,渡船
sail,航行
raft,木筏
canoe,划子
oar,浆
deck,甲板
turbine,涡轮机
propeller,螺旋桨
stern,船尾
aboard,在船上
embark,上船
channel,频道
canal,运河
ditch,渠
railroad,铁路
railway,铁路
locomotive,火车头
subway,地铁
underground,地下的
tunnel,隧道
rail,铁轨
depart,出发
arrive,到达
destination,目的地
delay,耽搁
postpone,延期
defer,延期
lull,间歇
expire,期满
due,应付的
postage,邮资
stamp,邮票
mail,邮件
packet,小包
package,包裹
bind,捆贴
parcel,邮包
load,负荷
burden,负担
transfer,转移
transmit,传送
transit,转运
deliver,传递
convey,运送
speed,速度
velocity,速度
swift,迅速的
republic,共和国
Marxism,马克思主义
socialism,社会主义
communism,共产主义
regime,政权
government,政府
authority,权威
political,政治的
hierarchy,等级制度
democracy,民主
bureaucracy,官僚主义
egalitarian,平等主义
materialism,唯物主义
revolution,革命
reform,改革
process,过程
conservative,保守的
meltdown,崩毁
municipal,市政的
neutral,中立的
bilateral,两边的
arena,竞技场
flag,旗帜
banner,横幅
president,总统
premier,总理
minister,部长
secretary,秘书
parliament,议会
senate,参议院
conference,会议
meeting,会议
headquarters,总部
delegation,代表团
behalf,利益
police,警察
statesman,政治家
mayor,市长
service,服务
office,办公室
bureau,局
department,部门
administration,行政机关
dominate,支配
power,权力
influence,影响力
affect,影响
importance,重要性
significance,重要性
organization,组织
organisation,组织
association,协会
union,工会
community,社团
consortium,财团
league,同盟
institution,协会
unite,团结
unique,唯一的
nation,国家
global,全球的
worldwide,全世界的
federal,联邦的
foreign,外国的
overseas,海外的
abroad,到国外
civil,公民的
emigrate,移居国外
immigrate,移入
reign,统治
puppet,木偶
throne,王位
crown,王冠
wreath,花圈
colony,殖民地
liberty,自由
independence,独立
slum,贫民窟
refuge,避难处
asylum,收容所
population,人口
demographic,人口统计学
citizen,公民
resident,居民
ethnic,种族的
racial,种族的
clan,宗族
franchise,选举权
entitle,赋与权利
preference,偏爱
vote,投票
elect,选举
respondent,被告
poll,民意测验
ambition,雄心
nominate,提名
checklist,清单
succession,连续
safety,安全
welfare,福利
well-being,安宁
harmony,和谐
steady,稳固的
flourish,茂盛
succeed,继承
prospect,前景
perspective,观点
viewpoint,观点
standpoint,立场
outlook,景色
guideline,指导路线
ethic,伦理学
suggest,建议
advise,忠告
proposal,提议
hint,暗示
declare,宣布
affirm,断言
claim,声称
proclaim,公告
state,状态
announce,宣告
clarify,阐明
assist,帮助
aid,援助
encourage,鼓励
implement,贯彻
monitor,监视器
admit,承认
African,非洲的
European,欧洲的
Latin,拉丁语的
Jewish,犹太人的
Arabian,阿拉伯语的
Portuguese,葡萄牙语的
Roman,罗马的
Russian,俄国的
Spanish,西班牙的
Swiss,瑞士的
Greek,希腊的
Italian,意大利的
soviet,苏维埃的
Indian,印度的
Australia,澳大利亚
New Zealand,新西兰
Canada,加拿大
Britain,英国
France,法国
Germany,德国
economy,经济
trade,贸易
market,市场
industry,产业
merchant,商人
financial,财政的
fund,基金
donate,捐赠
endow,捐赠
commercial,商业的
advertise,登广告
slogan,口号
purchase,购买
lease,租赁
afford,买得起
retail,零售
grocery,杂货店
discount,折扣
promotion,提升
voucher,证明人
coupon,优待券
currency,流通
exchange,交换
swap,交换
swop,交换
receipt,收据
invoice,发票
tax,税
levy,征税
tariff,关税
duty,职务
impose,课税
consume,消耗
spend,花费
cost,代价
expense,费用
revenue,收入
gross,总额
recession,衰退
depression,沮丧
crisis,危机
security,安全
bond,债券
debt,债
deficit,赤字
inflation,膨胀
deflation,通货紧缩
dwindle,减少
decrease,减少
downsize,缩小
decline,下倾
diminish,变小
reduce,减少
increase,增加
increment,增加
growth,增长
escalate,逐步升高
expand,扩张
influx,注入
affluent,富裕的
enrich,使富足
sufficient,足够的
adequate,适当的
spare,多余的
saving,存款
redundant,多余的
lack,缺乏
company,公司
firm,坚固的
enterprise,企业
agent,代理人
entity,实体
invest,投资
input,投入
product,产品
acquisition,获得
goods,货物
cargo,船货
insure,给…保险
guarantee,保证
reliable,可靠的
negotiation,谈判
attend,出席
absent,缺席的
sale,出售
wholesale,批发
auction,拍卖
bid,投标
deal,处理
transaction,办理
turnover,营业额
dump,倾倒
export,输出
import,输入
quota,定额
share,份额
benefit,利益
interest,兴趣
stock,库存
account,帐目
deposit,存放
instalment,分期付款
installment,分期付款
cheque,支票
check,检查
cash,现金
coin,硬币
shilling,先令
copper,铜
treasure,金银财宝
wealth,财富
estate,房地产
possess,持有
legacy,遗产
descend,下来
worthy,有价值的
valuable,贵重的
cheap,便宜的
incentive,动机
accelerate,加速
prompt,迅速的
salary,薪金
income,收入
wage,工资
payment,支付
refund,退还
reimburse,偿还
payroll,工资单
remuneration,报酬
subsidy,补助金
earn,赚得
undertaking,承办
career,生涯
profession,职业
occupation,职业
job,职业
vocation,职业
labour,劳动
labor,劳动
workforce,劳动力
workaholic,醉心于工作的人
personnel,人员
clerk,职员
interview,接见
résumé,摘要
resume,摘要
recommend,推荐
employ,雇用
hire,雇用
fire,解雇
lay-off,解雇
dismiss,免职
discharge,卸下
resign,辞职
sack,袋
retire,退休
result,结果
failure,失败
abortion,流产
loss,损失
opportunity,机会
chance,机会
choose,选择
change,变化
solve,解决
develop,发展
sustainable,支撑得住的
improve,改良
manage,管理
regulate,管理
sanction,批准
coordinate,协调
cooperate,合作
collaborate,协作
law,法律
legal,法律的
rule,规则
regulation,规则
treaty,条约
agreement,同意
charter,特许状
protocol,草案
norm,标准
benchmark,基准
criteria,标准
standard,标准
allow,允许
admission,准许进入
enforce,实施
default,履行责任
reject,拒绝
constraint,约束
official,官员
mandatory,命令的
bound,跳跃
obligation,义务
court,法院
supreme,至高的
enact,颁布
legislate,立法
equity,公平
fair,公平的
just,公平的
prejudice,偏见
discrimination,歧视
accuse,控告
sue,控告
prosecute,检举
condemn,判刑
complain,抱怨
boycott,联合抵制
session,会议
mediate,调停
plea,辩护
appeal,呼吁
contradict,反驳
persuade,说服
controversy,争论
whisper,耳语
mutter,轻声低语
murmur,低沉连续的声音
silent,寂静的
mute,哑的
investigate,调查
witness,目击者
justify,证明…是正当的
reasonable,合理的
suitable,适当的
judge,法官
jury,陪审团
trial,审讯
suspect,猜疑
sentence,判决
arrest,逮捕
jail,监狱
prison,监狱
confine,限制
oversee,俯瞰
supervise,监督
restrict,限制
restrain,抑制
commit,犯
sin,罪
crime,犯罪
vice,恶习
bribe,贿赂
rob,抢夺
pirate,海盗
steal,偷
thief,小偷
murder,谋杀
suicide,自杀
deceive,欺骗
cheat,欺骗
fraud,欺骗
liar,说谎者
trap,陷阱
trick,诡计
pretend,假装
fool,愚人
stigma,污点
confess,承认
conform,使一致
reconcile,使和解
obey,服从
succumb,屈服
penalty,处罚
fine,罚款
mortgage,抵押
ownership,所有权
copyright,版权
privilege,特权
accredit,委派
clue,线索
access,通路
anonymous,匿名的
false,虚伪的
genuine,真正的
procedure,程序
routine,常规
consequence,结果
demand,要求
request,要求
require,需要
petition,请愿
command,命令
instruct,教
violence,暴力
conflict,冲突
raid,袭击
enormity,巨大
campaign,战役
battle,战斗
struggle,竞争
explosion,爆发
bombard,炮击
bomb,炸弹
blast,一阵
burst,爆发
spark,火花
twinkle,闪烁
gunpowder,火药
tank,坦克
cannon,大炮
missile,导弹
weapon,武器
pistol,手枪
rifle,步枪
bullet,子弹
target,目标
deflect,使偏斜
mission,代表团
flame,火焰
flare,闪耀
glitter,闪闪发光
glow,发白热光
blade,刀刃
sword,剑
ax,斧子
hammer,锤子
arrow,箭
spear,矛
helmet,头盔
shield,盾
equip,装备
prepare,准备
provide,提供
deploy,调度
hit,打
beat,打
strike,打
punch,按
chop,砍
stab,刺
dilemma,窘境
plight,困境
pitfall,陷阱
conspiracy,阴谋
destitute,困苦的
famine,饥荒
starve,挨饿
deprive,剥夺
seize,抓住
pursue,追踪
threat,恐吓
offend,冒犯
aggressive,侵略性的
invade,侵略
trespass,侵入
intrude,闯入
violate,违犯
attack,攻击
assault,攻击
challenge,挑战
siege,包围
surround,包围
enclose,围绕
pause,中止
halt,停下
cease,停止
oppose,反对
oppress,压迫
counter,相反地
deter,制止
forbid,禁止
prohibit,禁止
prevent,防止
revolt,反抗
betray,背叛
treason,叛逆
rebel,造反
traitor,叛逆者
patriot,爱国者
blame,责备
reproach,责备
evidence,根据
proof,证据
terror,恐怖
terrible,可怕的
terrific,极好的
horrible,可怕的
alarm,警报
dread,恐惧
frighten,使惊恐
tension,紧张
turbulent,狂暴的
turmoil,骚动
scenario,方案
occasion,场合
limit,界限
boundary,边界
rein,缰绳
compete,比赛
contest,竞赛
contend,斗争
rival,对手
competitor,竞争者
enemy,敌人
strategy,策略
tactic,策略
maneuver,机动
manoeuvre,演习
blueprint,蓝图
warn,警告
compel,强迫
oblige,迫使
protest,主张
refute,驳斥
might,力量
force,力量
reinforce,加强
impair,损害
mitigate,减轻
comfort,安慰
event,事件
matter,事件
happen,发生
occur,发生
savage,野蛮的
reckless,轻率的
fierce,凶猛的
foul,粗俗的
evil,邪恶的
devil,魔鬼
punishment,处罚
execute,执行
hang,悬挂
sacrifice,牺牲
casualty,事故
bury,埋葬
funeral,葬礼
grave,墓穴
tomb,坟
hell,地狱
maritime,海的
naval,海军的
fleet,舰队
troop,部队
landing,登陆
hover,盘旋
proceed,进行
progress,前进
military,军事的
nuclear,核子的
poison,毒
devastate,毁坏
risk,冒险
adventure,冒险
peril,危险
catastrophe,大祸
collapse,塌下
torture,拷问
humiliate,羞辱
damage,损害
harmful,有害的
mislead,误导
disturb,扰乱
interfere,干涉
interrupt,打断
retreat,休息处
shrink,收缩
withdraw,收回
withstand,顶住
compromise,妥协
surrender,投降
escape,逃跑
avoid,避免
quit,离开
abandon,放弃
forgo,放弃
forego,放弃
discard,丢弃
rid,使摆脱
defend,防守
safeguard,保护
defeat,击败
resist,抵抗
capture,俘获
victory,胜利
triumph,胜利
conquer,征服
monument,纪念碑
tablet,碑
statue,雕像
medal,奖章
honor,荣誉
honour,荣誉
glorious,光荣的
contribute,捐助
devote,投入
owe,欠
patrol,巡逻
guard,守卫
camouflage,伪装
obstacle,障碍
burrow,洞穴
spy,间谍
scout,侦察
general,将军
soldier,士兵
veteran,老兵
pioneer,拓荒者
prophet,先知
herald,使者
heir,继承人
successor,继承者
generation,一代
surname,姓
gender,性别
sex,性别
female,女性的
couple,对
spouse,配偶
husband,丈夫
gay,同性恋的
grandfather,爷爷
father-in-law,岳父
sibling,兄弟姐妹
cousin,堂兄弟姐妹
nephew,侄子
niece,侄女
twin,孪生儿的一名
embryo,胚胎
infant,婴儿
orphan,孤儿
juvenile,青少年
youngster,年青人
youth,青春
gang,一帮
teenager,青少年
adolescence,青春期
kin,亲属
folk,人们
relative,亲戚
intimate,亲密的
dear,昂贵的
darling,心爱的人
lover,爱好者
beloved,心爱的
madam,夫人
hostess,女主人
landlady,女房东
mistress,情妇
housewife,家庭主妇
widow,寡妇
maid,少女
maiden,少女
household,家庭
chore,家务杂事
host,主人
landlord,房东
tenant,承租人
guest,客人
customer,顾客
client,客户
encounter,遭遇
chase,追赶
miss,小姐
appointment,约会
accompany,陪伴
dependent,依赖的
propose,提议
engagement,约会
marry,结婚
wedding,婚礼
honeymoon,蜜月
kiss,吻
divorce,离婚
separate,分离
single,单身的
sole,唯一的
respective,各自的
each,每个
individual,个人
commuter,通勤者
neighborhood,邻里
neighbourhood,邻里
member,成员
boss,老板
manager,经理
supervisor,监督人
subordinate,下级
partner,伙伴
colleague,同事
comrade,同志
acquaintance,熟人
friendship,友谊
affection,慈爱
stranger,陌生人
apprentice,学徒
deputy,代理人
hero,英雄
heroine,女英雄
actress,女演员
chancellor,大臣
commander,司令官
director,主任
proponent,拥护者
committee,委员会
council,理事会
delegate,代表
specialist,专家
consultant,顾问
veterinary,兽医
counsellor,顾问
counselor,顾问
solicitor,初级律师
attorney,代理人
umpire,裁判员
cashier,出纳员
fireman,消防队员
nurse,护士
gardener,园丁
barber,理发师
haircut,理发
fisherman,渔民
butcher,屠夫
groom,新郎
hostage,人质
toil,辛苦
beggar,乞丐
slave,奴隶
coward,懦夫
act,演
behave,举止
deed,行为
accustom,使习惯
react,反应
respond,回答
reflect,反射
adopt,采用
nourish,滋养
mow,割草
support,支撑
exhale,呼气
intake,摄入
revive,苏醒
survive,幸存
glare,怒目而视
glimpse,一瞥
glance,一瞥
peep,窥视
gaze,凝视
peer,贵族
stare,凝视
contemplate,沉思
vow,誓言
oath,誓言
pledge,誓言
whistle,口哨
reply,回答
notify,通知
assert,断言
explain,解释
quarrel,争吵
dispute,争论
argument,争论
mention,提到
hurry,赶快
hasten,催促
urge,激励
scold,责骂
curse,咒骂
swear,宣誓
provoke,激怒
preach,传道
boast,自夸
tease,取笑
mock,嘲笑
touch,触摸
hug,拥抱
clap,鼓掌
applaud,鼓掌
kneel,跪下
catch,抓住
snatch,夺得
grab,抓取
grasp,抓住
overtake,赶上
follow,跟随
grip,紧握
mess,混乱
twist,扭曲
scatter,散射
fold,折叠
fasten,扎牢
loosen,放松
smash,打破
scratch,抓
wipe,擦
scrape,刮
polish,磨光
split,裂开
sway,摇动
shake,摇动
vibrate,振动
whirl,旋转
rotate,旋转
shuffle,拖曳步行
collide,碰撞
contact,接触
connect,连接
combine,联合
integrate,使成整体
penetrate,穿透
pierce,穿透
insert,插入
tilt,倾斜
tow,拖
trail,痕迹
arrange,整理
manipulate,操纵
steer,驾驶
baptize,施洗
baptise,施洗
bet,打赌
stake,桩
gamble,赌博
promise,允诺
attract,吸引
obsess,使着迷
mesmerize,施催眠术
mesmerise,施催眠术
nightmare,噩梦
amaze,使吃惊
marvel,奇异的事
astonish,使惊讶
involve,使卷入
annoy,使恼怒
upset,颠覆
bewilder,使迷惑
irony,反话
indignity,侮辱
contempt,轻视
neglect,忽视
disregard,不理会
ignorance,无知
bias,偏见
deviate,离脱
expel,驱逐
flee,逃跑
bully,欺凌
panic,恐慌
terrify,使恐怖
revenge,报仇
kidnap,劫持
hijack,劫持
smuggle,走私
convict,证明…有罪
strangle,勒死
massacre,大屠杀
decimation,大批杀害
intervene,干涉
impede,妨碍
allure,引诱
bait,饵
induce,引诱
tempt,引诱
designate,指派
assign,指派
distribute,分发
despatch,派遣
dispatch,派遣
detach,分离
undo,解开
disguise,伪装
conceal,隐藏
refuse,拒绝
exclude,拒绝
reverse,颠倒
assure,使确信
undertake,承担
stipulate,规定
convince,使确信
reassure,使…安心
wish,希望
aspire,盼望
desire,愿望
yearn,渴望
invoke,祈求
itch,发痒
attempt,尝试
strive,努力
effort,努力
fulfil,履行
fulfill,履行
sort,种类
loom,织布机
launch,下水
commence,开始
exploit,开发
explore,探险
exert,发挥
tackle,工具
cope,应付
dispose,布置
conduct,行为
omit,省略
delete,删除
cancel,取消
clear,清楚的
erase,擦，抹
rescue,营救
resort,求助
recover,恢复
restore,恢复
rectify,纠正
redeem,买回
offset,抵消
replenish,补充
obtain,获得
gain,获得
supply,补给
offer,提供
render,致使
enlarge,扩大
augment,增加
magnify,放大
amplify,放大
exaggerate,夸大
prolong,延长
uphold,举起
backup,备份
propel,推进
update,更新
raise,举起
leak,漏洞
spill,溢出
seep,渗出
ooze,渗出
evacuate,疏散
trench,深沟
saturate,使饱和
excuse,借口
forgive,原谅
contain,包含
regard,看作
flatter,谄媚
worship,崇拜
cause,原因
sake,缘故
purpose,目的
objective,客观的
arouse,唤醒
trigger,触发器
seek,寻找
retrieve,重新得到
testify,证明
verify,核实
specify,指定
enlighten,启发
impart,告知
deserve,应受
drop,滴下
sink,下沉
plummet,铅锤
muffle,包裹
overshadow,遮蔽
invite,邀请
welcome,欢迎
greet,问候
salute,招呼
celebrate,庆祝
congratulate,祝贺
bless,祝福
participate,参加
farewell,告别
assort,分类
correspond,通信
accord,一致
attribute,属性
recall,回想
recollect,回忆
remind,提醒
retell,重讲
repeat,重复
retrospect,回顾
impress,盖印
surmount,克服
mortify,克制
pervade,遍及
replace,替换
substitute,代替
distinguish,区别
differentiate,区别
incline,倾斜
lean,倾斜
sideways,向侧面地
feel,摸
mood,心情
emotion,情感
temper,情绪
manner,礼貌
attitude,态度
character,性格
personality,人格
trait,显著特点
virtue,美德
feature,特征
stature,身高
flesh,肉
mankind,人类
human,人
bone,骨骼
backbone,脊柱
skeleton,骨架
skull,头脑
brain,脑
mind,头脑
physical,身体的
mental,精神的
cheek,面颊
forehead,前额
brow,眉
eyelash,睫毛
lip,嘴唇
mouth,嘴
tongue,舌
throat,咽喉
gorge,峡谷
chin,颏
jaw,颔
neck,脖子
beard,胡须
shoulder,肩
limb,肢
elbow,肘
wrist,腕
thumb,大拇指
palm,棕榈
finger,手指
fist,拳头
chest,胸腔
abdomen,腹部
rib,肋骨
waist,腰
organ,器官
liver,肝脏
stomach,胃
womb,子宫
kidney,肾脏
lung,肺
gland,腺
chamber,室
intestine,肠
thigh,大腿
joint,接头
knee,膝
lap,膝部
ankle,踝
heel,脚后跟
toe,脚趾
muscle,肌肉
pore,毛孔
pulse,脉搏
artery,动脉
nerve,神经
hormone,荷尔蒙
immune,免疫的
stimulus,刺激品
biorhythm,生物节律
lifestyle,生活方式
habit,习惯
sense,感官
sight,景观
eyesight,视力
view,风景
visual,视觉的
visible,可见的
vague,模糊的
blind,盲的
dumb,哑的
aural,耳的
dental,牙齿的
awake,唤醒
yawn,打呵欠
nap,小睡
doze,打瞌睡
quiet,安静的
asleep,睡熟的
cripple,跛子
lame,跛的
dwarf,矮子
pregnancy,怀孕
born,出生的
condom,避孕套
clone,克隆
symptom,症状
disease,疾病
illness,疾病
moan,呻吟
infection,感染
detriment,损害
broken,碎的
disable,使残废
invalid,残废的
patient,病人
dysfunction,功能紊乱
diabetes,糖尿病
obesity,肥胖
overweight,超重
hypertension,高血压
paralyse,使瘫痪
paralyze,使瘫痪
dizzy,晕眩的
insane,患精神病的
insomnia,失眠
allergy,变态反应
heart attack,心脏病发作
cancer,癌症
arthritis,关节炎
pimple,小丘疹
stroke,笔画
plague,瘟疫
flu,流感
influenze,流感
fever,发烧
headache,头痛
swell,肿胀
choke,窒息
injure,伤害
injury,伤害
hurt,伤害
bleed,流血
bruise,青肿
scar,伤痕
wound,伤口
trauma,外伤
lump,肿块
pain,痛
death,死亡
mortal,必死的
demise,死亡
doom,厄运
fatal,致命的
lethal,致命的
corpus,文集
overwork,过度工作
exhaust,排气
fatigue,疲乏
faint,头晕的
feeble,虚弱的
weary,疲倦的
weaken,使变弱
uncomfortable,不舒服的
unconscious,失去知觉的
chronic,慢性的
acute,尖锐的
sore,疼痛的
sorrow,悲哀
suffering,痛苦
lament,哀悼
hospital,医院
therapy,治疗
health care,医疗卫生保健
sanitary,卫生的
medical,医学的
curative,医疗的
hygiene,卫生
fitness,适当
clinic,门诊所
physician,医师
surgeon,外科医生
operation,手术
cure,治愈
heal,治愈
treatment,待遇
prescription,药方
transplant,移植
X-ray,X射线
injection,注射
precaution,预防
vaccinate,接种疫苗
quarantine,隔离检查
segregate,使隔离
isolate,使隔离
pharmacy,药房
medicine,药
remedy,药物
drug,药
pill,药丸
antibiotic,抗菌素
acupuncture,针刺疗法
penicillin,青霉素
morphine,吗啡
dose,剂量
recovery,恢复
refresh,刷新
relief,减轻
relieve,减轻
alleviate,减轻
ease,便利
relax,放松
normal,正常的
common,共同的
usual,通常的
optimistic,乐观的
pessimistic,悲观的
positive,肯定的
negative,否定的
passive,被动的
enthusiastic,热心的
indifferent,漠不关心的
apathetic,无感情的
negligible,微不足道的
happiness,幸福
delight,快乐
merry,欢乐的
fun,乐趣
joke,笑话
laughter,笑声
joy,欢乐
please,满意
rejoice,欣喜
thrill,震颤
cheer,欢呼
pleasure,愉快
agreeable,令人愉快的
exhilarate,使高兴
satisfactory,满意的
desirable,值得渴望的
exciting,令人兴奋的
keen,敏锐的
zeal,热忱
lively,活泼的
lovely,可爱的
fond,喜爱的
favor,好感
favour,好感
surprising,令人惊讶的
startle,使惊吓
amazing,令人惊异的
astound,使惊骇
hectic,兴奋的
liberal,慷慨的
generous,大方的
gentle,温和的
humble,谦逊的
modest,谦虚的
humorous,富于幽默的
polite,有礼貌的
frank,坦白的
mysterious,神秘的
curious,好奇的
daring,大胆的
manly,男子气概的
direct,径直的
earnest,认真的
honesty,诚实
proud,骄傲的
seriously,认真地
friendly,友好的
hospitable,好客的
romantic,浪漫的
freedom,自由
careful,小心的
concern,关心
confidence,信任
considerate,体贴的
thoughtful,深思熟虑的
sympathetic,同情的
ready,准备好的
apologize,道歉
apolise,道歉
apology,道歉
mercy,慈悲
admire,钦佩
remarkable,显著的
grateful,感激的
gratitude,感激
eager,渴望的
sound,声音
picturesque,如画的
promising,有前途的
prominent,卓越的
awesome,引起敬畏的
arduous,费劲的
tough,坚韧的
robust,强健的
sturdy,强健的
steadfast,坚定的
tender,嫩的
temperate,温和的
delicate,精巧的
mundane,平凡的
naive,天真的
childish,孩子气的
sincerite,诚挚的
liable,有责任的
trustworthy,可信赖的
enterprising,有事业心的
sane,神志清楚的
strenuous,奋发的
rigorous,严厉的
strict,严密的
severe,严厉的
mutual,相互的
resemble,相似
similar,相似的
familiar,熟悉的
naked,裸体的
bare,赤裸的
private,私人的
intuition,直觉
spontaneous,自发的
implicit,含蓄的
illusion,幻想
imaginary,想象中的
fancy,花式
fate,命运
fortune,财富
agony,极大的痛苦
grief,悲哀
grieve,使悲伤
miserable,痛苦的
distress,悲痛
sadness,悲伤
gloomy,黑暗的
disappoint,使失望
discourage,使泄气
wretched,可怜的
frustrating,挫败的
mourn,哀悼
anger,生气
furious,狂怒的
frown,皱眉
rage,愤怒
irritate,激怒
hate,讨厌
hatred,恨
nuisance,讨厌的东西
disgust,厌恶
vex,使恼火
harass,使困扰
bore,钻孔
bother,打扰
troublesome,麻烦的
awful,可怕的
